,fecha_apertura,edad,sexo,Casos Confirmados
298,2020,100.0,M,34
300,2020,101.0,F,94
301,2020,101.0,M,15
303,2020,102.0,F,42
304,2020,102.0,M,9
306,2020,103.0,F,39
307,2020,103.0,M,5
309,2020,104.0,F,10
310,2020,104.0,M,2
312,2020,105.0,F,6
313,2020,105.0,M,2
315,2020,106.0,F,7
316,2020,106.0,M,1
318,2020,107.0,F,4
320,2020,108.0,F,1
322,2020,109.0,F,1
324,2020,114.0,F,1
325,2021,1.0,F,3243
326,2021,1.0,M,3744
328,2021,2.0,F,3224
329,2021,2.0,M,3386
331,2021,3.0,F,3002
332,2021,3.0,M,3225
334,2021,4.0,F,3215
335,2021,4.0,M,3497
337,2021,5.0,F,3479
338,2021,5.0,M,3671
340,2021,6.0,F,4008
341,2021,6.0,M,4181
343,2021,7.0,F,4417
344,2021,7.0,M,4747
346,2021,8.0,F,4818
347,2021,8.0,M,4928
349,2021,9.0,F,5200
350,2021,9.0,M,5185
352,2021,10.0,F,5863
353,2021,10.0,M,5903
355,2021,11.0,F,6874
356,2021,11.0,M,6825
358,2021,12.0,F,8321
359,2021,12.0,M,7947
361,2021,13.0,F,10190
362,2021,13.0,M,9580
364,2021,14.0,F,12001
365,2021,14.0,M,10954
367,2021,15.0,F,15280
368,2021,15.0,M,13363
370,2021,16.0,F,18396
371,2021,16.0,M,16140
373,2021,17.0,F,21582
374,2021,17.0,M,18882
376,2021,18.0,F,25039
377,2021,18.0,M,22802
379,2021,19.0,F,25306
380,2021,19.0,M,23673
382,2021,20.0,F,28421
383,2021,20.0,M,26539
385,2021,21.0,F,30835
386,2021,21.0,M,28797
388,2021,22.0,F,32281
389,2021,22.0,M,30470
391,2021,23.0,F,33983
392,2021,23.0,M,31802
394,2021,24.0,F,35816
395,2021,24.0,M,34174
397,2021,25.0,F,37302
398,2021,25.0,M,35298
400,2021,26.0,F,38120
401,2021,26.0,M,36601
403,2021,27.0,F,37792
404,2021,27.0,M,36331
406,2021,28.0,F,38561
407,2021,28.0,M,37370
409,2021,29.0,F,40063
410,2021,29.0,M,39144
412,2021,30.0,F,40333
413,2021,30.0,M,39141
415,2021,31.0,F,37863
416,2021,31.0,M,37557
418,2021,32.0,F,37131
419,2021,32.0,M,36848
421,2021,33.0,F,36920
422,2021,33.0,M,36372
424,2021,34.0,F,36765
425,2021,34.0,M,36511
427,2021,35.0,F,35954
428,2021,35.0,M,36032
430,2021,36.0,F,33830
431,2021,36.0,M,34194
433,2021,37.0,F,33881
434,2021,37.0,M,33967
436,2021,38.0,F,34492
437,2021,38.0,M,34160
439,2021,39.0,F,35727
440,2021,39.0,M,35173
442,2021,40.0,F,34319
443,2021,40.0,M,34457
445,2021,41.0,F,34768
446,2021,41.0,M,34828
448,2021,42.0,F,34628
449,2021,42.0,M,34450
451,2021,43.0,F,33411
452,2021,43.0,M,32452
454,2021,44.0,F,32170
455,2021,44.0,M,31779
457,2021,45.0,F,30268
458,2021,45.0,M,29497
460,2021,46.0,F,29314
461,2021,46.0,M,28664
463,2021,47.0,F,27483
464,2021,47.0,M,26885
466,2021,48.0,F,27149
467,2021,48.0,M,26569
469,2021,49.0,F,26857
470,2021,49.0,M,26285
472,2021,50.0,F,25973
473,2021,50.0,M,25326
475,2021,51.0,F,24386
476,2021,51.0,M,23699
478,2021,52.0,F,23139
479,2021,52.0,M,22278
481,2021,53.0,F,22220
482,2021,53.0,M,21863
484,2021,54.0,F,21161
485,2021,54.0,M,20867
487,2021,55.0,F,20709
488,2021,55.0,M,20166
490,2021,56.0,F,20486
491,2021,56.0,M,19843
493,2021,57.0,F,19418
494,2021,57.0,M,19154
496,2021,58.0,F,18844
497,2021,58.0,M,18716
499,2021,59.0,F,18063
500,2021,59.0,M,17725
502,2021,60.0,F,15686
503,2021,60.0,M,15591
505,2021,61.0,F,14470
506,2021,61.0,M,14333
508,2021,62.0,F,13819
509,2021,62.0,M,13998
511,2021,63.0,F,12917
512,2021,63.0,M,13242
514,2021,64.0,F,12488
515,2021,64.0,M,13134
517,2021,65.0,F,11790
518,2021,65.0,M,11800
520,2021,66.0,F,11179
521,2021,66.0,M,11024
523,2021,67.0,F,10626
524,2021,67.0,M,10618
526,2021,68.0,F,10289
527,2021,68.0,M,10059
529,2021,69.0,F,9611
530,2021,69.0,M,9451
532,2021,70.0,F,8375
533,2021,70.0,M,8560
535,2021,71.0,F,7701
536,2021,71.0,M,7657
538,2021,72.0,F,7279
539,2021,72.0,M,7284
541,2021,73.0,F,6757
542,2021,73.0,M,6795
544,2021,74.0,F,6355
545,2021,74.0,M,6204
547,2021,75.0,F,5822
548,2021,75.0,M,5445
550,2021,76.0,F,5534
551,2021,76.0,M,5142
553,2021,77.0,F,5169
554,2021,77.0,M,4668
556,2021,78.0,F,4616
557,2021,78.0,M,4037
559,2021,79.0,F,4100
560,2021,79.0,M,3658
562,2021,80.0,F,4070
563,2021,80.0,M,3190
565,2021,81.0,F,3703
566,2021,81.0,M,2915
568,2021,82.0,F,3287
569,2021,82.0,M,2542
571,2021,83.0,F,2956
572,2021,83.0,M,2254
574,2021,84.0,F,2830
575,2021,84.0,M,2124
577,2021,85.0,F,2448
578,2021,85.0,M,1761
580,2021,86.0,F,2528
581,2021,86.0,M,1580
583,2021,87.0,F,2187
584,2021,87.0,M,1316
586,2021,88.0,F,1982
587,2021,88.0,M,1103
589,2021,89.0,F,1869
590,2021,89.0,M,1047
592,2021,90.0,F,1687
593,2021,90.0,M,822
595,2021,91.0,F,1474
596,2021,91.0,M,656
598,2021,92.0,F,1215
599,2021,92.0,M,560
601,2021,93.0,F,981
602,2021,93.0,M,415
604,2021,94.0,F,767
605,2021,94.0,M,279
607,2021,95.0,F,600
608,2021,95.0,M,210
610,2021,96.0,F,462
611,2021,96.0,M,126
613,2021,97.0,F,350
614,2021,97.0,M,123
616,2021,98.0,F,228
617,2021,98.0,M,66
619,2021,99.0,F,155
620,2021,99.0,M,30
622,2021,100.0,F,94
623,2021,100.0,M,27
625,2021,101.0,F,67
626,2021,101.0,M,13
628,2021,102.0,F,39
629,2021,102.0,M,8
631,2021,103.0,F,20
632,2021,103.0,M,4
633,2021,104.0,F,9
634,2021,104.0,M,3
636,2021,105.0,F,5
637,2021,105.0,M,4
638,2021,106.0,F,6
639,2021,106.0,M,1
640,2021,107.0,F,2
642,2021,108.0,F,2
643,2021,109.0,F,1
